cite.key,title,year,labels,status,comment,reason
leeDirectLookPredator2013,Direct Look from a Predator Shortens the Risk-Assessment Time by Prey,2013,Data,exclude,-,wrong study design
leightonHidingPlainSight2021,Hiding in plain sight risk mitigation by a cryptic carnivore foraging at the urban edge,2021,-,exclude,-,wrong outcome
lemaitreDeerMiceMediate2010,Deer mice mediate red-backed vole behaviour and abundance along a gradient of habitat alteration,2010,Data,exclude,#example effects of passive human interaction on competition,wrong study design; wrong exposure
lesaoutShorttermEffectsHunting2014,Short-term effects of hunting on naive black-tailed deer (Odocoileus hemionus sitkensis) behavioural response and consequences on vegetation growth,2014,-,exclude,#example experimental evidence of hunting effects on deer habitat use,wrong outcome
lesmerisesRefugePredationRisk2017,Refuge or predation risk? Alternate ways to perceive hiker disturbance based on maternal state of female caribou,2017,Data,included,state-dependence of human effects on herbivore,-
lianRoadProximityTraffic2011,"Road proximity and traffic flow perceived as potential predation risks evidence from the Tibetan antelope in the Kekexili National Nature Reserve, China",2011,Data,included,Rank correlation and chi square reported,-
liCollectiveVigilanceWintering2016,Collective Vigilance in the Wintering Hooded Crane The Role of Flock Size and Anthropogenic Disturbances in a Human-Dominated Landscape,2016,Data,included,-,-
liEvidenceEffectsHuman2007,Evidence of effects of human disturbance on alert response in pere david's deer (Elaphurus davidianus),2007,Data,exclude,exposure was tourists,wrong population
limaVigilanceResponseKey2021,Vigilance Response of a Key Prey Species to Anthropogenic and Natural Threats in Detroit,2021,Data,exclude,not FIS,wrong study design
liQuantifyingHumanDisturbance2011,Quantifying human disturbance on antipredator behavior and flush initiation distance in yellow-bellied marmots,2011,Data,included,-,-
littleDoesHumanPredation2014,Does Human Predation Risk Affect Harvest Susceptibility of White-Tailed Deer During Hunting Season?,2014,Data,exclude,-,wrong outcome
liVigilanceActivityTimeBudget2015,"Vigilance and Activity Time-Budget Adjustments of Wintering Hooded Cranes, Grus monacha, in Human-Dominated Foraging Habitats",2015,Data,included,-,-
lodberg-holmHumaninducedLandscapeFear2019,A human-induced landscape of fear influences foraging behavior of brown bears,2019,Data,exclude,-,wrong outcome
loehrGenderAgeclassspecificReactions2005,Gender- and age-class-specific reactions to human disturbance in a sexually dimorphic ungulate,2005,Data,included,-,-
loneAdaptiveBehaviouralResponse2015,An adaptive behavioural response to hunting surviving male red deer shift habitat at the onset of the hunting season,2015,Data,exclude,"#example effect of hunting on habitat use of red deer,  cover + forage choice",wrong outcome
loneLivingDyingMultipredator2014,Living and dying in a multi-predator landscape of fear Roe deer are squeezed by contrasting pattern of predation risk imposed by lynx and humans,2014,Data,exclude,#example mortality of roe deer due to hunting,wrong outcome
loneTemporalVariationHabitat2017,Temporal variation in habitat selection breaks the catch-22 of spatially contrasting predation risk from multiple predators,2017,Data,exclude,-,wrong outcome
lopesHumanmodifiedLandscapesAlter2021,Human-modified landscapes alter home range and movement patterns of capybaras,2021,Data,included,-,wrong outcome
lovariSuburbanEcologyCrested2017,Suburban ecology of the crested porcupine in a heavily poached area a global approach,2017,Data,exclude,-,wrong outcome
lowreyTOLERANCEDISTURBANCEREGULATED2017,"TOLERANCE TO DISTURBANCE REGULATED BY ATTRACTIVENESS OF RESOURCES A CASE STUDY OF DESERT BIGHORN SHEEP WITHIN THE RIVER MOUNTAINS, NEVADA",2017,-,exclude,RSF,wrong outcome
Madin2016,Human activities change marine ecosystems by altering predation risk,2016,review,exclude,-,wrong outcome
madinFieldEvidencePervasive2010,Field evidence for pervasive indirect effects of fishing on prey foraging behavior,2010,Data,exclude,"#example of predator removal effects on prey behavior,  #marine",wrong outcome
madinFishingIndirectlyStructures2010,Fishing Indirectly Structures Macroalgal Assemblages by Altering Herbivore Behavior,2010,Data,exclude,"#model incorporating foraging of herbivores and predation risk,  #bmii",wrong exposure
maloMeasuringUngulateTolerance2011,Measuring ungulate tolerance to human with flight distance a reliable visitor management tool?,2011,Data,exclude,-,wrong outcome
manorImpactHumanNuisance2003,Impact of human nuisance disturbance on vigilance and group size of a social ungulate,2003,Data,included,"non-hunting disturbance
human disturbance index used not comparable across studies",-
marchandImpactsTourismHunting2014,Impacts of tourism and hunting on a large herbivore's spatio-temporal behavior in and around a French protected area,2014,Data,exclude,#example contrasting effects of hunting and NHD on space use and temporal activity,wrong outcome
matsonFactorsAffectingVigilance2005,Factors affecting the vigilance and flight behaviour of impalas,2005,Data,included,-,-
mbiseHumanHabituationReduces2020,Human habituation reduces hyrax flight initiation distance in Serengeti,2020,-,exclude,-,wrong outcome
mccormickBoatNoiseImpacts2018,Boat noise impacts risk assessment in a coral reef fish but effects depend on engine type,2018,-,included,-,wrong outcome
mcgowanEffectHumanPresence2014,The Effect of Human Presence and Human Activity on Risk Assessment and Flight Initiation Distance in Skinks,2014,-,exclude,-,wrong outcome
mcgrathNorthernBobwhiteForaging2018,-,2018,-,exclude,not FIS/scan,wrong study design
mehlhoopMooseOurNeighborhood2022,Moose in our neighborhood Does perceived hunting risk have cascading effects on tree performance in vicinity of roads and houses?,2022,Data,exclude,#example BMII of hunting on herbivores,wrong outcome
meisingsetImpactsHumanDisturbance2022,Impacts of human disturbance on flight response and habitat use of red deer,2022,Data,exclude,#example hunting effect on flight behavior and space use,wrong outcome
melisRoeDeerFace2013,Roe deer face competing risks between predators along a gradient in abundance,2013,Data,exclude,comparison of mortality from human hunters and natural predators,wrong outcome
mendesLandscapeHumanFear2020,Landscape of human fear in Neotropical rainforest mammals,2020,Data,exclude,-,wrong outcome
merkleFoodAvailabilityForaging2013,Food availability and foraging near human developments by black bears,2013,Data,exclude,#example human subsidisation of predator energy intake,wrong outcome
metcalfeObserverEffectsRemote2022,"Observer effects in a remote population of large-headed capuchins, Sapajus macrocephalus",2022,Data,included,-,-
mikleForageFleeLessons2019,To forage or flee lessons from an elk migration near a protected area,2019,Data,exclude,#example effect of hunting on migration timing in elk,wrong outcome
mikulaPedestrianDensityInfluences2014,Pedestrian density influences flight distances of urban birds,2014,-,exclude,"#example disturbance altering flight response to humans,  does disturbance also alter flight response to other predators? (generalisation)",wrong outcome
mikulaRiskPerceptionVervet2018,Risk perception of vervet monkeys Chlorocebus pygerythrus to humans in urban and rural environments,2018,-,exclude,-,-
millerBehavioralResponsesPredatory2022,Behavioral responses to predatory sounds predict sensitivity of cetaceans to anthropogenic noise within a soundscape of fear,2022,Data,included,-,-
millerLandscapeFearHumanpredator2019,Landscape of fear and human-predator coexistence Applying spatial predator-prey interaction theory to understand and reduce carnivore-livestock conflict,2019,concept,exclude,-,wrong outcome
millsHumansDisruptAccess2020,Humans disrupt access to prey for large African carnivores,2020,Data,exclude,-,wrong outcome
moenBehaviourSolitaryAdult2012,Behaviour of Solitary Adult Scandinavian Brown Bears (Ursus arctos) when Approached by Humans on Foot,2012,Data,exclude,-,wrong study design
mohlmanNonconsumptiveEffectsHunting2019,Nonconsumptive effects of hunting on a nontarget game bird,2019,-,exclude,-,wrong outcome
molenaarFeedingAssociationHarbour2022,Feeding Association Between Harbour Porpoise (Phocoena phocoena) and Flyshoot Fishing,2022,Data,exclude,#example fisheries subsidising marine mammals,wrong study design
mollerChangeFlightInitiation2013,Change in flight initiation distance between urban and rural habitats following a cold winter,2013,-,exclude,-,wrong outcome
mollerUrbanAreasRefuges2012,Urban areas as refuges from predators and flight distance of prey,2012,"Data,  concept",included, #concept possible mechanism of human shield effect in development gradients,individual species data not available
molsRecreationHuntingDifferentially2022,Recreation and hunting differentially affect deer behaviour and sapling performance,2022,-,exclude,"#example contrast between nuisance and hunting, down stream effects on herbivore behavior (Space use) and plant survival",wrong outcome
montero-quintanaEcotourismImpactsBehaviour2020,Ecotourism impacts on the behaviour of whale sharks an experimental approach,2020,Data,included,-,-
montgomeryHuntingModesHuman2022,The hunting modes of human predation and potential nonconsumptive effects on animal populations,2022,Review,included,-,-
montgomeryInducibleDefencesLarge2020,The inducible defences of large mammals to human lethality,2020,"Data, Review",included,-,-
morelliAreBirdsMore2023,Are birds more afraid in urban parks or cemeteries? A Latin American study contrasts with results from Europe,2023,Data,exclude,-,wrong outcome: no pdf found
morelliFlightInitiationDistance2022,Flight initiation distance and refuge in urban birds,2022,Data,exclude,lack of control,wrong study design
moriPorcupinesLandscapeFear2017,Porcupines in the landscape of fear effect of hunting with dogs on the behaviour of a non-target species,2017,Data,exclude,-,wrong outcome
morris-drakeAnthropogenicNoiseAlters2017,Anthropogenic noise alters dwarf mongoose responses to heterospecific alarm calls,2017,Data,exclude,-,wrong outcome
muhlyHumanActivityHelps2011,Human activity helps prey win the predator-prey space race,2011,Data,exclude,"#example of human shield effect,  NHD",wrong outcome
murchisonHumanActivityHabitat2016,Human Activity and Habitat Characteristics Influence Shorebird Habitat Use and Behavior at a Vancouver Island Migratory Stopover Site,2016,Data,included,-,-
murphyThreadingNeedleHow2021,Threading the needle How humans influence predator-prey spatiotemporal interactions in a multiple-predator system,2021,Data,exclude,-,wrong outcome
naderiHaresHumansLynx2021,"Hares, humans, and lynx activity rhythms who avoids whom?",2021,Data,exclude,-,wrong outcome
nahaMovementBehaviorSolitary2021,Movement behavior of a solitary large carnivore within a hotspot of human-wildlife conflicts in India,2021,"Data,Other NCB",exclude,-,wrong outcome
ndaimaniPredictingSpatialDistribution2014,Predicting the spatial distribution of hunted and non-hunted Sable antelope (Hippotragus niger niger) using remotely sensed woody cover in a Southern African savanna,2014,data,exclude,#example effect of hunting on habitat use of sable,wrong outcome
neumannNonimpactHuntingMoose2009,"The non-impact of hunting on moose Alces alces movement, diurnal activity, and activity range",2009,Data,exclude,#example effects of hunting and non - hunting disturbance on animal movement,wrong outcome
nevinMeasuringCostRisk2005,Measuring the cost of risk avoidance in brown bears Further evidence of positive impacts of ecotourism,2005,-,exclude,-,-
nevinPerceivedRiskDisplacement2005,"Perceived risk, displacement and refuging in brown bears positive impacts of ecotourism?",2005,"Data, Other NCB",exclude,-,wrong outcome
neweyForagingBehaviourCommon2007,Foraging behaviour of the Common Myna (Acridotheres tristis) in relation to vigilance and group size,2007,Data,included,disturbance was higher in the afternoon than in the morning,incomplete study design
nhlekoWhiteRhinosOther2022,White rhinos and other herbivores decrease visitations and increase vigilance in response to human vocalizations,2022,Data,exclude,-,wrong study design
nickelEnergeticsFearHumans2021,Energetics and fear of humans constrain the spatial ecology of pumas,2021,Data,exclude,"#example effect of passive interactions or non-hunting disturbance on a predators movement rate, range size and energy expenditure",study design
nisiPumaResponsesUnreliable,Puma responses to unreliable human cues suggest an ecological trap in a fragmented landscape,2022,Data,exclude,-,wrong outcome
nowakInfluenceLivecaptureRisk2016,Influence of live-capture on risk perceptions of habituated samango monkeys,2016,Data,exclude,-,wrong study design
nowakSamangoMonkeysCercopithecus2017,"Samango Monkeys (Cercopithecus albogularis labiatus) Manage Risk in a Highly Seasonal, Human-Modified Landscape in Amathole Mountains, South Africa",2017,-,exclude,-,wrong outcome
nunesReefFishAntipredator2019,Reef fish antipredator behavior in remote islands does not reflect patterns seen in coastal areas,2019,-,exclude,-,wrong outcome
ohashiDifferencesActivityPattern2013,Differences in the activity pattern of the wild boar Sus scrofa related to human disturbance,2013,Data,exclude,"temporal activity
#example effect of hunting and NHD on temporal activity of wild boars",wrong outcome
ordizBearsKnowThey2012,Do bears know they are being hunted?,2012,Data,exclude,#example hunting effects of temporal activity of large carnivores,wrong outcome
ordizEffectsHumanDisturbance2021,Effects of Human Disturbance on Terrestrial Apex Predators,2021,Review,included,-,-
ordizLastingBehaviouralResponses2013,Lasting behavioural responses of brown bears to experimental encounters with humans,2013,Data,exclude,#example experimental effect of NHD on bear activity,wrong outcome
ordizSavingLargeCarnivores2013,"Saving large carnivores, but losing the apex predator?",2013,opinion,included,-,-
ordizSeasonalityHumanDisturbance2017,Seasonality and human disturbance alter brown bear activity patterns implications for circumpolar carnivore conservation?,2017,Data,exclude,-,wrong outcome
oriol-cotterillLandscapesCoexistenceTerrestrial2015,Landscapes of Coexistence for terrestrial carnivores the ecological consequences of being downgraded from ultimate to penultimate predator by humans,2015,Review,included,gaynor2019,-
oriol-cotterillSpatiotemporalPatternsLion2015,Spatiotemporal patterns of lion space use in a human-dominated landscape,2015,Data,exclude,#example effect of hunting on space use of lions,study design
ortiz-jimenezBehaviouralCorrelationsMultiple2022,Behavioural correlations across multiple stages of the antipredator response do animals that escape sooner hide longer?,2022,"Data,Other NCB",exclude,non - foraging behavior,wrong outcome
osorio-beristainRelatingFlightInitiation2018,Relating flight initiation distance in birds to tropical dry forest restoration,2018,Data,exclude,effect of habitat on FID,wrong study design
otienoHumanRiskmediatedBrowsing2019,Human- and risk-mediated browsing pressure by sympatric antelope in an African savanna,2019,Data,exclude,#example effect of disturbance on forage choice of large herbivores,wrong outcome
padieRoeDeerRisk2015,Roe deer at risk teasing apart habitat selection and landscape constraints in risk exposure at multiple scales,2015,Data,exclude,"lack of contrast,  table 1 does not make sense",wrong study design
panEldDeerTranslocated2011,Eld's Deer Translocated to Human-Inhabited Areas Become Nocturnal,2011,Data,exclude,#example NHD effects of temporal activity on herbivore,wrong outcome
pangleLethalNonlethalAnthropogenic2010,Lethal and nonlethal anthropogenic effects on spotted hyenas in the Masai Mara National Reserve,2010,Data,included,"study design mixes effects of natural pedators, human hunters, tourists; contrast accross two groups; cowbells can be considered predator cues",-
parsonsEcologicalImpactHumans2016,The ecological impact of humans and dogs on wildlife in protected areas in eastern North America,2016,Data,included,-,wrong outcome
parsonsIntensiveHuntingChanges2022,Intensive hunting changes human-wildlife relationships,2022,Data,exclude,-,wrong outcome
patonHuntingExacerbatesResponse2017,Hunting exacerbates the response to human disturbance in large herbivores while migrating through a road network,2017,Data,included,-,-
pattenIntersectionHumanDisturbance2019,"The Intersection of Human Disturbance and Diel Activity, with Potential Consequences on Trophic Interactions",2019,Data,exclude,#example effect of disturbance on predator - prey temporal overlap,wrong outcome
pecorellaEffectsCullingVigilance2016,Effects of culling on vigilance behaviour and endogenous stress response of female fallow deer,2016,Data,included,-,-
peksaDaytimeActivityBudget2018,"Daytime activity budget of an alpine ungulate (Tatra chamois Rupicapra rupicapra tatrica) influence of herd size, sex, weather and human disturbance",2018,Data,included,-,-
pereiraLowSpatialOverlap2021,Low spatial overlap between foraging shearwaters during the breeding season and industrial fisheries off the west coast of Portugal,2021,Data,exclude,-,wrong outcome
perez-cembranosPredationRiskOpportunity2013,Predation Risk and Opportunity Cost of Fleeing While Foraging on Plants Influence Escape Decisions of an Insular Lizard,2013,Data,exclude,-,wrong study design
perryIndividualResponsesNovel2020,Individual responses to novel predation risk and the emergence of a landscape of fear,2020,Data,exclude,-,wrong outcome
personsHumanActivityHabitat2017,Human activity and habitat type affect perceived predation risk in urban white-footed mice (Peromyscus leucopus),2017,Data,included,-,-
petersonHabitatSelectionWolves2021,Habitat selection by wolves and mountain lions during summer in western Montana,2021,Data,exclude,-,wrong outcome
petersUsingRiskdisturbanceHypothesis2005,Using the risk-disturbance hypothesis to assess the relative effects of human disturbance and predation risk on foraging American oystercatchers,2005,Data,exclude,effect size not reported for feeding time nhd treatment;  number of individuals exbhiting given behavior per treatment,wrong study design
petrelliFirstFlushEffects2017,First to Flush The Effects of Ambient Noise on Songbird Flight Initiation Distances and Implications for Human Experiences with Nature,2017,Data,exclude,-,wrong study design
picardiMovementResponsesRoe2019,Movement responses of roe deer to hunting risk,2019,"Data,concept",included,"risk-fear_manuscript risk - fear model; home range effect not reported
using only data from september hunting season and M. Bondone sites",wrong outcome
planteHumanDisturbanceEffects2018,Human disturbance effects and cumulative habitat loss in endangered migratory caribou,2018,Data,exclude,-,wrong outcome
planteLandscapeAttributesExplain2017,Landscape attributes explain migratory caribou vulnerability to sport hunting,2017,Data,exclude,-,wrong outcome
podgorskiDriversSynchronizedVigilance2016,Drivers of synchronized vigilance in wild boar groups,2016,Data,exclude,-,wrong study design
podgorskiSpatiotemporalBehavioralPlasticity2013,Spatiotemporal behavioral plasticity of wild boar (Sus scrofa) under contrasting conditions of human pressure primeval forest and metropolitan area,2013,Data,included,#effect non-hunting disturbance on space use and temporal activity of boars,wrong outcome
polichFlightInitiationDistance2016,"Flight Initiation Distance in a Freshwater Turtle, Chrysemys picta",2016,Data,exclude,-,wrong outcome
priceHumanActivityAffects2014,Human activity affects the perception of risk by mule deer,2014,Data,exclude,-,wrong outcome
priceImpactHumanDisturbance2008,The impact of human disturbance on birds A selective review,2008,Review,included,-,-
proffittContrastingEffectsWolves2009,Contrasting Effects of Wolves and Human Hunters on Elk Behavioral Responses to Predation Risk,2009,Data,included,-,wrong outcome
proudmanRedDeerAllocate2021,Red deer allocate vigilance differently in response to spatio-temporal patterns of risk from human hunters and wolves,2021,Data,included,#example human sheild effect,-
puigInfluenceHumanActivities,"Influence of human activities, social and environmental variables on the behavior of guanacos in Southern Andean Precordillera (Argentina)",NA,Data,exclude,-,-
ramirez-alvarezPumaPumaConcolor2021,Puma (Puma concolor) in the Neighborhood? Records Near Human Settlements and Insights into Human-Carnivore Coexistence in Central Chile,2021,-,exclude,using public records to analyse puma occurences,wrong study design
ramirezTopdownBottomupForces2023,Top-down and bottom-up forces explain patch utilization by two deer species and forest recruitment,2023,Data,exclude,-,wrong outcome
rangelOccurrenceBehaviourShorebirds2021,Occurrence and Behaviour of Shorebirds Depend on Food Availability and Distance of Beaches from Urban Settlements,2021,Data,exclude,-,wrong outcome
rasmussenMaskingZeitgeberAfrican2012,Masking of the zeitgeber African wild dogs mitigate persecution by balancing time,2012,Data,exclude,#example effects of hunting on temporal activity of large carnivore,wrong outcome
reillyMesopredatorsRetainTheir2022,Mesopredators retain their fear of humans across a development gradient,2022,Data,exclude,-,wrong outcome
reimersVigilanceFrightBehaviour2011,Vigilance and fright behaviour in the insular Svalbard reindeer Rangifer tarandus platyrhynchus),2011,Data,included,"desensitisation in absence of predators,  habituation to humans may alter response to NHD",-
reislandEndangeredApesCanTheir2021,Endangered Apes-Can Their Behaviors Be Used to Index Fear and Disturbance in Anthropogenic Landscapes?,2021,Data,included,-,wrong exposure
reislandSympatricApesSacred2016,Sympatric Apes in Sacred Forests Shared Space and Habitat Use by Humans and Endangered Javan Gibbons (Hylobates moloch),2016,"Data,Other NCB",exclude,-,wrong outcome
reynoldsDefiningSeparationZones2021,Defining separation zones for coastal birds at a wetland of global importance,2021,Data,exclude,-,wrong outcome
rhoadesFishedSpeciesUniformly2018,Fished species uniformly reduced escape behaviors in response to protection,2018,Data,exclude,-,wrong outcome
rhoadesHumaninducedReductionsFish2019,Human-induced reductions in fish predator boldness decrease their predation rates in kelp forests,2019,Data,exclude,bruvs using baited surveys to determine foraging rate,wrong outcome
rippleTrophicCascadesInvolving2008,"Trophic cascades involving cougar, mule deer, and black oaks in Yosemite National Park",2008,Data,exclude,"#example effect of apex predator removal on plan recruitment,  trophic cascade",wrong outcome
rodeBehavioralResponsesBrown2006,Behavioral responses of brown bears mediate nutritional effects of experimentally introduced tourism,2006,Data,included,BACI,-
rodgersSexSpecificBehaviorsHunted2021,Sex-Specific Behaviors of Hunted Mule Deer During Rifle Season,2021,Data,exclude,#example effect of hunting on herbivore space use,wrong outcome
rodriguez-prietoAntipredatorBehaviorBlackbirds2009,Antipredator behavior in blackbirds habituation complements risk allocation,2009,"Data,Experimental",exclude,4 levels of disturbance - how to analyse?,wrong outcome
rodriguez-prietoEffectsDirectHuman2005,Effects of direct human disturbance on the endemic Iberian frog Rana iberica at individual and population levels,2005,"Data,Other NCB",exclude,FID in relation to number of approaches not disturbance,wrong outcome
rodriguez-prietoRunFlyLow2008,To run or to fly low cost versus low risk escape strategies in blackbirds,2008,Data,exclude,descisions under risk,wrong study design
rodriguez-recioEstimatingGlobalDeterminants2022,Estimating global determinants of leopard home range size in a changing world,2022,"Data,Review",exclude,-,wrong outcome
rogalaHumanActivityDifferentially2011,Human Activity Differentially Redistributes Large Mammals in the Canadian Rockies National Parks,2011,Data,exclude,#example of NHD altering predator-prey spatial interactions,wrong outcome
rosellResponsesForagingEurasian2000,Responses of foraging Eurasian beavers Castor fiber to predator odours,2000,-,included,-,uncertainty not reported
sahlenBehaviouralDifferencesSingle2015,Behavioural Differences between Single Scandinavian Brown Bears (Ursus arctos) and Females with Dependent Young When Experimentally Approached by Humans,2015,Data,exclude,-,wrong outcome
samiaMetaanalysisFishBehavioural2019,A meta-analysis of fish behavioural reaction to underwater human presence,2019,Review,exclude,-,wrong study design
samiaRuralUrbanDifferencesEscape2017,Rural-Urban Differences in Escape Behavior of European Birds across a Latitudinal Gradient,2017,Data,exclude,-,wrong outcome
sandBehavioralEffectsWolf2021,Behavioral effects of wolf presence on moose habitat selection testing the landscape of fear hypothesis in an anthropogenic landscape,2021,Data,exclude,-,wrong exposure
santodomingoLimitedInfluenceHunting2021,Limited influence of hunting on the activity patterns and habitat use of Pampas fox (Lycalopex gymnocercus) in agroecosystems of central Argentina,2021,Data,exclude,#example effect of hunting  + NHD on space use and temporal activity of a predator,wrong outcome
sarmentoHumanVisitationLimits2017,Human visitation limits the utility of protected areas as ecological baselines,2017,Data,exclude,#example human sheild effect,wrong outcome
sbragagliaSpearfishingModulatesFlight2018,"Spearfishing modulates flight initiation distance of fishes the effects of protection, individual size, and bearing a speargun",2018,Data,exclude,chapter-4 study design,wrong outcome
schaknerCanFearConditioning2017,Can fear conditioning repel California sea lions from fishing activities?,2017,Data,exclude,-,wrong outcome
scheibeBehaviorWildAnimals2009,"Behavior of wild animals against humans in reservations, sanctuaries, and hunted areas - review and theoretical approach",2009,Review,exclude,-,-
schuetteUngulateDistributionsRangeland2016,"Ungulate distributions in a rangeland with competitors, predators and pastoralists",2016,Data,exclude,-,wrong outcome
schultzSexspecificForagingApex2021,Sex-specific foraging of an apex predator puts females at risk of human-wildlife conflict,2021,Data,exclude,#example predator ecology can impact how much actual risk they experience from humans,wrong outcome
schuttlerDeerLookoutHow2017a,"Deer on the lookout How hunting, hiking and coyotes affect white-tailed deer vigilance",2017,Data,included,separate data file created due to incompatibility of formats,results reported inconsistently
seccoHabitatSelectionBlacktufted2018,Habitat selection by the black-tufted marmoset Callithrix penicillata in human-disturbed landscapes,2018,Data,exclude,-,wrong outcome
sergeyevInfluenceHabitatUse2020,The influence of habitat use on harvest vulnerability of cow elk (Cervus canadensis),2020,Data,exclude,-,wrong outcome
setsaasHowDoesHuman2007,"How does human exploitation affect impala populations in protected and partially protected areas? - A case study from the Serengeti Ecosystem, Tanzania",2007,Data,exclude,"density across habitats and treatments, initial behaviors were also measured",wrong outcome; comparative study design
sevequeImpactHumanDisturbance2022,Impact of human disturbance on temporal partitioning within carnivore communities,2022,"bfs,Review",exclude,-,-
severcanEffectsFlockSize2011,The effects of flock size and human presence on vigilance and feeding behavior in the Eurasian Coot (Fulica atra L.) during breeding season,2011,Data,included,-,-
shamoonIncreasedMammalNocturnality2018,Increased mammal nocturnality in agricultural landscapes results in fragmentation due to cascading effects,2018,"Data,data",exclude,-,wrong outcome
shannonBehavioralResponsesAssociated2014,Behavioral Responses Associated with a Human-Mediated Predator Shelter,2014,Data,included,#example of human sheild effect altering vigilance foraging and grouping behavior,-
shannonRoadNoiseCauses2016,Road noise causes earlier predator detection and flight response in a free-ranging mammal,2016,Data,exclude,-,wrong outcome
shannonRoadTrafficNoise2014,Road traffic noise modifies behaviour of a keystone species,2014,Data,included,-,-
shoresMesopredatorsChangeTemporal2019,Mesopredators change temporal activity in response to a recolonizing apex predator,2019,Data,exclude,#example effect of disturbance on temporal overlap of mesopredators,wrong outcome
sirotShouldRiskAllocation2010,Should risk allocation strategies facilitate or hinder habituation to nonlethal disturbance in wildlife?,2010,theoretical model,exclude,#read/later,-
smithBehavioralResponsesMale2022,Behavioral responses of male elk to hunting risk,2022,Data,exclude,-,wrong outcome
smithFearHumanSuper2017,Fear of the human 'super predator' reduces feeding time in large carnivores,2017,Data,included,-,-
smithMismatchRiskResponse2021a,Mismatch Between Risk and Response May Amplify Lethal and Non-lethal Effects of Humans on Wild Animal Populations,2021,Review,included,"is this sufficiently different from the superpredator framework?; lack of cross trophic comparison; human sheild effects, provisioning effects; habituation is not ellaborated sufficiently",-
smithQuietIslandsWorld2022,Quiet islands in a world of fear Wolves seek core zones of protected areas to escape human disturbance,2022,Data,exclude,-,wrong outcome;
smithSpatialCharacteristicsResidential2016,Spatial characteristics of residential development shift large carnivore prey habits,2016,Data,exclude,-,wrong outcome
smithTopCarnivoresIncrease2015,Top carnivores increase their kill rates on prey as a response to human-induced fear,2015,Data,exclude,"why not use proportion of kill left over as a GUD?,  proportion of time spent at kill site has nothing to do with cost",wrong outcome
sonnichsenBehaviouralResponsesEuropean2013,Behavioural Responses of European Roe Deer to Temporal Variation in Predation Risk,2013,Data,included,-,-
souza-alvesEmergencyOnlyTerrestrial2021,For emergency only terrestrial feeding in Coimbra-Filho's titis reflects seasonal arboreal resource availability,2021,Data,exclude,-,wrong exposure
spitzBehavioralChangesNutritional2019,Behavioral changes and nutritional consequences to elk ( Cervus canadensis ) avoiding perceived risk from human hunters,2019,Data,exclude,-,wrong outcome
sreekarFlightInitiationDistance2015,"Flight initiation distance as behavioral indicator of hunting pressure a case study of the Sooty-headed Bulbul (Pycnonotus aurigaster) in Xishuangbanna, SW China",2015,Data,exclude,-,wrong outcome
staflAmericanPikasOchotona2015,American pikas' (Ochotona princeps) foraging response to hikers and sensitivity to heat in an alpine environment,2015,Data,exclude,unsubstantiated claims of MOC,wrong outcome
stamoulisFlightBehaviorTargeted2019,Flight behavior of targeted fishes depends on variables other than fishing,2019,Data,exclude,-,wrong outcome
stankowichEffectsPredatorBehavior2006,Effects of predator behavior and proximity on risk assessment by Columbian black-tailed deer,2006,"Data,Other NCB",exclude,-,wrong outcome
stankowichEffectsRiskAssessment2007,"Effects of risk assessment, predator behavior, and habitat on escape behavior in Columbian black-tailed deer",2007,"Data, Other NCB",exclude,-,wrong study design
stankowichUngulateFlightResponses2008,Ungulate flight responses to human disturbance A review and meta-analysis,2008,"bfs, data, review",exclude,data available (effect sizes) for ungulates,wrong outcome;
stansellIndividualVariationTolerance2022,Individual variation in tolerance of human activity by urban Dark-eyed Juncos (Junco hyemalis),2022,Data,exclude,-,wrong outcome;
stclairPresenceMammalianPredators2010,Presence of mammalian predators decreases tolerance to human disturbance in a breeding shorebird,2010,Data,exclude,#read/later,wrong outcome
stenhouseExperimentalStudyExamining2005,An experimental study examining the anti-predator behaviour of Sabine's gulls (Xema sabini) during breeding,2005,Experimental,exclude,-,wrong study design
stewartSpatiotemporalPatternsMale2022,Spatiotemporal patterns of male and female white-tailed deer on a hunted landscape,2022,-,exclude,-,wrong outcome
stillfriedSecretsSuccessLandscape2017,Secrets of Success in a Landscape of Fear Urban Wild Boar Adjust Risk Perception and Tolerate Disturbance,2017,Data,exclude,-,wrong outcome
stillfriedWhenTopPredators2015,When top predators become prey Black bears alter movement behaviour in response to hunting pressure,2015,Data,exclude,"lack of contrast,  distance to road measured but reported in a very weird way",wrong study design
stillmanSeasonalChangesResponse2002,Seasonal changes in the response of oystercatchers Haematopus ostralegus to human disturbance,2002,-,included,no hunting,uncertainty not reported
storchHumanDisturbanceGrouse2013,Human disturbance of grouse - why and when?,2013,review,included,-,-
sullivanRecognizingDangerZone2018,Recognizing the danger zone response of female white-tailed to discrete hunting events,2018,Data,exclude,-,wrong outcome
suraciBehaviorspecificHabitatSelection2019,Behavior-specific habitat selection by African lions may promote their persistence in a human-dominated landscape,2019,Data,exclude,#example effect of non-hunting dsiturbance on lion habitat use,wrong study design
suraciFearHumansApex2019,Fear of humans as apex predators has landscape-scale impacts from mountain lions to mice,2019,Data,exclude,effect of non-hunting disturbance across trophic levels in one system,wrong outcome
suraciHumansNotTheir2019,"Humans, but not their dogs, displace pumas from their kills An experimental approach",2019,Data,exclude,-,data used from previous included study
